scope,dataset,task,task_type,model_or_config,split,metric,value,time_train_s,time_infer_s,notes
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,test,mae,4.44467100578442,0.0028870105743408203,0.00022292137145996094,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,global_median,test,rmse,5.397047619660354,0.0028870105743408203,0.00022292137145996094,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,val,r2,0.015265736190276491,0.0028870105743408203,0.0021970272064208984,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,val,mae,3.713748572648328,0.0028870105743408203,0.0021970272064208984,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,val,rmse,4.600550627772227,0.0028870105743408203,0.0021970272064208984,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,test,r2,-0.053684267211891123,0.0028870105743408203,0.0014290809631347656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,test,mae,4.386227325431087,0.0028870105743408203,0.0014290809631347656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_mean,test,rmse,5.348415067269502,0.0028870105743408203,0.0014290809631347656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,val,r2,0.058229932613087176,0.0028870105743408203,0.0015041828155517578,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,val,mae,3.6463927991404566,0.0028870105743408203,0.0015041828155517578,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,val,rmse,4.499069801273173,0.0028870105743408203,0.0015041828155517578,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,test,r2,-0.01652645916091866,0.0028870105743408203,0.0014128684997558594,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,test,mae,4.323695189534572,0.0028870105743408203,0.0014128684997558594,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,entity_median,test,rmse,5.253263672481815,0.0028870105743408203,0.0014128684997558594,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,val,r2,-0.09981836925331233,0.0008842945098876953,6.914138793945312e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,val,mae,4.2513590335845945,0.0008842945098876953,6.914138793945312e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,val,rmse,5.096013932058935,0.0008842945098876953,6.914138793945312e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,test,r2,-0.2096250008604723,0.0008842945098876953,5.2928924560546875e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,test,mae,4.86575370294047,0.0008842945098876953,5.2928924560546875e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_mean,test,rmse,5.891252928025637,0.0008842945098876953,5.2928924560546875e-05,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,val,r2,-0.10668215834999906,0.0008842945098876953,0.00014519691467285156,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,val,mae,4.257142857142857,0.0008842945098876953,0.00014519691467285156,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,val,rmse,5.111890899797117,0.0008842945098876953,0.00014519691467285156,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,test,r2,-0.2185922544488781,0.0008842945098876953,0.00012493133544921875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,test,mae,4.876615256356815,0.0008842945098876953,0.00012493133544921875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,global_median,test,rmse,5.9130492751107235,0.0008842945098876953,0.00012493133544921875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,val,r2,-0.09981836925331233,0.0008842945098876953,0.0011761188507080078,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,val,mae,4.2513590335845945,0.0008842945098876953,0.0011761188507080078,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,val,rmse,5.096013932058935,0.0008842945098876953,0.0011761188507080078,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,test,r2,-0.2096250008604723,0.0008842945098876953,0.001049041748046875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,test,mae,4.86575370294047,0.0008842945098876953,0.001049041748046875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_mean,test,rmse,5.891252928025637,0.0008842945098876953,0.001049041748046875,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,val,r2,-0.10668215834999906,0.0008842945098876953,0.0009379386901855469,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,val,mae,4.257142857142857,0.0008842945098876953,0.0009379386901855469,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,val,rmse,5.111890899797117,0.0008842945098876953,0.0009379386901855469,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,test,r2,-0.2185922544488781,0.0008842945098876953,0.0008797645568847656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,test,mae,4.876615256356815,0.0008842945098876953,0.0008797645568847656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,entity_median,test,rmse,5.9130492751107235,0.0008842945098876953,0.0008797645568847656,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,average_precision,0.8975230247315132,217.9956500530243,1.063119888305664,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,accuracy,0.7756183745583038,217.9956500530243,1.063119888305664,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,f1,0.8599779492833517,217.9956500530243,1.063119888305664,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,roc_auc,0.7405714285714285,217.9956500530243,1.063119888305664,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
